timestamp,x,y
01:11:36.094,308,171
01:11:36.362,308,171
01:11:36.647,308,171
01:11:36.921,308,171
01:11:37.209,308,171
01:11:37.461,308,171
01:11:37.722,308,171
01:11:38.010,308,171
01:11:38.283,308,171
01:11:38.535,308,171
01:11:38.811,308,171
01:11:39.081,308,171
01:11:39.371,308,171
01:11:39.637,308,171
01:11:39.888,308,171
01:11:40.172,308,171
01:11:40.434,308,171
01:11:40.731,308,171
01:11:40.994,275,155
01:11:41.259,231,145
01:11:41.531,231,145
01:11:41.807,231,145
01:11:42.089,231,145
01:11:42.363,233,145
01:11:42.632,236,145
01:11:42.890,236,145
01:11:43.163,236,145
01:11:43.425,236,145
01:11:43.690,236,145
01:11:43.962,236,145
01:11:44.233,236,145
01:11:44.495,236,145
01:11:44.763,236,145
01:11:45.024,233,145
01:11:45.303,233,145
01:11:45.564,233,145
01:11:45.831,233,145
01:11:46.091,233,145
01:11:46.362,233,145
01:11:46.629,264,146
01:11:46.892,264,146
01:11:47.162,264,146
01:11:47.424,264,146
01:11:47.691,264,146
01:11:47.962,264,146
01:11:48.234,264,146
01:11:48.499,264,146
01:11:48.763,349,146
01:11:49.025,348,147
01:11:49.306,348,147
01:11:49.564,348,147
01:11:49.852,348,147
01:11:50.129,348,147
01:11:50.409,348,147
01:11:50.681,336,145
01:11:50.968,334,145
01:11:51.232,334,145
01:11:51.483,335,145
01:11:51.769,335,148
01:11:52.026,318,151
01:11:52.282,282,143
01:11:52.572,259,149
01:11:52.837,221,181
01:11:53.130,206,214
01:11:53.396,180,241
01:11:53.659,141,255
01:11:53.929,136,257
01:11:54.197,136,257
01:11:54.459,136,257
01:11:54.732,136,268
01:11:54.989,169,274
01:11:55.267,172,280
01:11:55.530,164,282
01:11:55.797,160,282
01:11:56.073,165,288
01:11:56.331,165,286
01:11:56.591,167,288
01:11:56.868,171,286
01:11:57.130,171,285
01:11:57.397,177,289
01:11:57.662,189,295
01:11:57.932,200,294
01:11:58.196,210,298
01:11:58.474,224,298
01:11:58.730,230,297
01:11:59.002,231,297
01:11:59.266,236,295
01:11:59.531,253,280
01:11:59.794,258,279
01:12:00.064,265,273
01:12:00.332,272,278
01:12:00.591,268,282
01:12:00.841,233,281
01:12:01.130,210,253
01:12:01.400,227,235
01:12:01.666,305,174
01:12:01.930,334,160
01:12:02.193,293,175
01:12:02.456,237,165
01:12:02.729,181,141
01:12:03.003,194,140
01:12:03.268,194,140
01:12:03.532,238,140
01:12:03.802,238,140
01:12:04.073,238,140
01:12:04.330,238,140
01:12:04.591,238,140
01:12:04.843,238,140
01:12:05.105,238,140
01:12:05.372,238,140
01:12:05.642,239,140
01:12:05.900,239,140
01:12:06.171,239,140
01:12:06.441,239,140
01:12:06.707,238,140
01:12:06.971,238,140
01:12:07.242,238,140
01:12:07.504,238,140
