x-coordinate,y-coordinate,date,time
12.50,283.33,2024-10-25,16:52:05.219786
9.38,268.75,2024-10-25,16:52:05.308836
9.38,272.92,2024-10-25,16:52:05.313851
9.38,268.75,2024-10-25,16:52:05.324911
9.38,268.75,2024-10-25,16:52:05.340979
9.38,270.83,2024-10-25,16:52:05.365690
12.50,289.58,2024-10-25,16:52:05.411741
12.50,289.58,2024-10-25,16:52:05.436470
12.50,291.67,2024-10-25,16:52:05.479398
12.50,289.58,2024-10-25,16:52:05.504333
12.50,295.83,2024-10-25,16:52:05.534427
12.50,295.83,2024-10-25,16:52:05.559493
12.50,295.83,2024-10-25,16:52:05.593646
14.06,297.92,2024-10-25,16:52:05.622448
14.06,295.83,2024-10-25,16:52:05.672837
15.62,310.42,2024-10-25,16:52:05.706174
15.62,310.42,2024-10-25,16:52:05.736884
15.62,308.33,2024-10-25,16:52:05.768295
15.62,308.33,2024-10-25,16:52:05.799832
15.62,308.33,2024-10-25,16:52:05.831493
15.62,310.42,2024-10-25,16:52:05.866240
15.62,312.50,2024-10-25,16:52:05.896896
15.62,312.50,2024-10-25,16:52:05.908257
15.62,310.42,2024-10-25,16:52:05.947162
15.62,310.42,2024-10-25,16:52:05.976922
15.62,310.42,2024-10-25,16:52:06.039165
15.62,312.50,2024-10-25,16:52:06.071852
15.62,310.42,2024-10-25,16:52:06.102930
15.62,310.42,2024-10-25,16:52:06.135342
15.62,310.42,2024-10-25,16:52:06.186820
15.62,310.42,2024-10-25,16:52:06.201507
15.62,310.42,2024-10-25,16:52:06.217898
15.62,310.42,2024-10-25,16:52:06.250586
15.62,312.50,2024-10-25,16:52:06.281117
15.62,308.33,2024-10-25,16:52:06.312916
15.62,312.50,2024-10-25,16:52:06.345569
15.62,310.42,2024-10-25,16:52:06.375899
15.62,310.42,2024-10-25,16:52:06.407011
15.62,312.50,2024-10-25,16:52:06.459051
15.62,312.50,2024-10-25,16:52:06.488587
15.62,312.50,2024-10-25,16:52:06.519376
15.62,310.42,2024-10-25,16:52:06.552648
15.62,312.50,2024-10-25,16:52:06.585155
15.62,312.50,2024-10-25,16:52:06.616015
15.62,312.50,2024-10-25,16:52:06.647235
15.62,312.50,2024-10-25,16:52:06.680639
15.62,312.50,2024-10-25,16:52:06.729217
15.62,312.50,2024-10-25,16:52:06.761056
15.62,310.42,2024-10-25,16:52:06.792016
15.62,310.42,2024-10-25,16:52:06.824366
15.62,312.50,2024-10-25,16:52:06.855261
15.62,312.50,2024-10-25,16:52:06.889091
15.62,314.58,2024-10-25,16:52:06.922343
15.62,312.50,2024-10-25,16:52:06.957017
15.62,312.50,2024-10-25,16:52:07.001527
15.62,312.50,2024-10-25,16:52:07.032004
15.62,312.50,2024-10-25,16:52:07.065196
15.62,314.58,2024-10-25,16:52:07.095260
15.62,314.58,2024-10-25,16:52:07.129136
15.62,314.58,2024-10-25,16:52:07.161211
17.19,312.50,2024-10-25,16:52:07.193306
15.62,312.50,2024-10-25,16:52:07.239257
15.62,314.58,2024-10-25,16:52:07.272735
17.19,314.58,2024-10-25,16:52:07.304788
15.62,316.67,2024-10-25,16:52:07.336175
15.62,314.58,2024-10-25,16:52:07.366828
17.19,312.50,2024-10-25,16:52:07.398879
17.19,312.50,2024-10-25,16:52:07.434757
17.19,314.58,2024-10-25,16:52:07.465965
17.19,314.58,2024-10-25,16:52:07.483178
17.19,312.50,2024-10-25,16:52:07.514160
17.19,314.58,2024-10-25,16:52:07.545859
17.19,312.50,2024-10-25,16:52:07.578153
17.19,314.58,2024-10-25,16:52:07.639904
17.19,314.58,2024-10-25,16:52:07.671851
17.19,312.50,2024-10-25,16:52:07.702967
17.19,312.50,2024-10-25,16:52:07.736772
17.19,312.50,2024-10-25,16:52:07.765916
15.62,314.58,2024-10-25,16:52:07.792826
15.62,314.58,2024-10-25,16:52:07.815638
17.19,312.50,2024-10-25,16:52:07.849067
17.19,314.58,2024-10-25,16:52:07.883135
17.19,314.58,2024-10-25,16:52:07.913207
17.19,312.50,2024-10-25,16:52:07.946173
17.19,314.58,2024-10-25,16:52:07.978917
17.19,314.58,2024-10-25,16:52:08.010125
17.19,314.58,2024-10-25,16:52:08.055868
17.19,314.58,2024-10-25,16:52:08.087133
17.19,316.67,2024-10-25,16:52:08.118821
17.19,316.67,2024-10-25,16:52:08.150545
17.19,316.67,2024-10-25,16:52:08.184784
17.19,312.50,2024-10-25,16:52:08.218620
17.19,314.58,2024-10-25,16:52:08.250038
17.19,314.58,2024-10-25,16:52:08.296671
17.19,316.67,2024-10-25,16:52:08.328829
17.19,318.75,2024-10-25,16:52:08.361229
17.19,337.50,2024-10-25,16:52:08.393137
653.12,868.75,2024-10-25,16:52:08.426817
618.75,712.50,2024-10-25,16:52:08.456666
575.00,545.83,2024-10-25,16:52:08.489061
539.06,466.67,2024-10-25,16:52:08.521020
501.56,443.75,2024-10-25,16:52:08.569998
389.06,422.92,2024-10-25,16:52:08.603232
365.62,402.08,2024-10-25,16:52:08.631876
354.69,391.67,2024-10-25,16:52:08.665359
346.88,385.42,2024-10-25,16:52:08.697204
342.19,379.17,2024-10-25,16:52:08.729126
335.94,375.00,2024-10-25,16:52:08.761166
331.25,368.75,2024-10-25,16:52:08.791798
328.12,362.50,2024-10-25,16:52:08.841053
329.69,354.17,2024-10-25,16:52:08.874036
326.56,341.67,2024-10-25,16:52:08.902992
325.00,331.25,2024-10-25,16:52:08.936285
325.00,329.17,2024-10-25,16:52:08.969792
332.81,325.00,2024-10-25,16:52:09.002268
345.31,316.67,2024-10-25,16:52:09.032765
360.94,312.50,2024-10-25,16:52:09.081912
360.94,312.50,2024-10-25,16:52:09.105102
375.00,314.58,2024-10-25,16:52:09.119809
390.62,320.83,2024-10-25,16:52:09.145966
395.31,335.42,2024-10-25,16:52:09.175995
395.31,362.50,2024-10-25,16:52:09.243862
387.50,364.58,2024-10-25,16:52:09.273888
375.00,362.50,2024-10-25,16:52:09.305771
375.00,362.50,2024-10-25,16:52:09.323916
357.81,345.83,2024-10-25,16:52:09.353916
339.06,335.42,2024-10-25,16:52:09.385530
318.75,327.08,2024-10-25,16:52:09.418118
301.56,327.08,2024-10-25,16:52:09.450393
290.62,329.17,2024-10-25,16:52:09.481478
304.69,345.83,2024-10-25,16:52:09.513881
304.69,372.92,2024-10-25,16:52:09.546275
196.88,414.58,2024-10-25,16:52:09.576881
179.69,431.25,2024-10-25,16:52:09.625945
362.50,395.83,2024-10-25,16:52:09.658083
343.75,406.25,2024-10-25,16:52:09.689098
334.38,414.58,2024-10-25,16:52:09.721757
331.25,429.17,2024-10-25,16:52:09.754068
335.94,443.75,2024-10-25,16:52:09.785866
342.19,460.42,2024-10-25,16:52:09.817285
353.12,479.17,2024-10-25,16:52:09.849809
365.62,497.92,2024-10-25,16:52:09.898470
382.81,520.83,2024-10-25,16:52:09.930079
409.38,558.33,2024-10-25,16:52:09.961524
265.62,512.50,2024-10-25,16:52:09.993040
287.50,531.25,2024-10-25,16:52:10.025810
306.25,550.00,2024-10-25,16:52:10.060112
