x-coordinate,y-coordinate,date,time
609.38,550.00,2024-10-30,19:04:52.373933
671.88,789.58,2024-10-30,19:04:52.421932
675.00,791.67,2024-10-30,19:04:52.437943
696.88,797.92,2024-10-30,19:04:52.469258
728.12,808.33,2024-10-30,19:04:52.502260
759.38,818.75,2024-10-30,19:04:52.536263
795.31,835.42,2024-10-30,19:04:52.567362
826.56,845.83,2024-10-30,19:04:52.602363
873.44,866.67,2024-10-30,19:04:52.650411
921.88,916.67,2024-10-30,19:04:52.679939
954.69,952.08,2024-10-30,19:04:52.711931
985.94,985.42,2024-10-30,19:04:52.742435
321.88,35.42,2024-10-30,19:04:53.381520
321.88,35.42,2024-10-30,19:04:53.395520
531.25,170.83,2024-10-30,19:04:53.430521
531.25,168.75,2024-10-30,19:04:53.462956
532.81,170.83,2024-10-30,19:04:53.495808
537.50,166.67,2024-10-30,19:04:53.527805
542.19,164.58,2024-10-30,19:04:53.559322
554.69,189.58,2024-10-30,19:04:53.592323
571.88,197.92,2024-10-30,19:04:53.621323
576.56,200.00,2024-10-30,19:04:53.652880
592.19,227.08,2024-10-30,19:04:53.701871
592.19,260.42,2024-10-30,19:04:53.732878
603.12,262.50,2024-10-30,19:04:53.764580
607.81,285.42,2024-10-30,19:04:53.796588
612.50,293.75,2024-10-30,19:04:53.828587
618.75,302.08,2024-10-30,19:04:53.864086
623.44,295.83,2024-10-30,19:04:53.895402
559.38,191.67,2024-10-30,19:04:53.925401
560.94,193.75,2024-10-30,19:04:53.973024
560.94,191.67,2024-10-30,19:04:54.005039
559.38,187.50,2024-10-30,19:04:54.037112
559.38,183.33,2024-10-30,19:04:54.068975
557.81,181.25,2024-10-30,19:04:54.100901
557.81,177.08,2024-10-30,19:04:54.132980
554.69,172.92,2024-10-30,19:04:54.164619
546.88,160.42,2024-10-30,19:04:54.212887
534.38,152.08,2024-10-30,19:04:54.245337
515.62,143.75,2024-10-30,19:04:54.278340
493.75,137.50,2024-10-30,19:04:54.311420
470.31,131.25,2024-10-30,19:04:54.342426
443.75,122.92,2024-10-30,19:04:54.375059
418.75,116.67,2024-10-30,19:04:54.405686
406.25,112.50,2024-10-30,19:04:54.436854
406.25,112.50,2024-10-30,19:04:54.446403
396.88,112.50,2024-10-30,19:04:54.485171
389.06,108.33,2024-10-30,19:04:54.517263
379.69,104.17,2024-10-30,19:04:54.549043
351.56,93.75,2024-10-30,19:04:54.612752
328.12,102.08,2024-10-30,19:04:54.644415
309.38,97.92,2024-10-30,19:04:54.713481
290.62,95.83,2024-10-30,19:04:54.718427
290.62,95.83,2024-10-30,19:04:54.735565
273.44,89.58,2024-10-30,19:04:54.757331
253.12,93.75,2024-10-30,19:04:54.790016
239.06,87.50,2024-10-30,19:04:54.822016
226.56,81.25,2024-10-30,19:04:54.855792
210.94,79.17,2024-10-30,19:04:54.884866
200.00,77.08,2024-10-30,19:04:54.916869
190.62,70.83,2024-10-30,19:04:54.948720
178.12,64.58,2024-10-30,19:04:54.998719
173.44,72.92,2024-10-30,19:04:55.029736
165.62,68.75,2024-10-30,19:04:55.060458
162.50,68.75,2024-10-30,19:04:55.093488
160.94,85.42,2024-10-30,19:04:55.125271
146.88,81.25,2024-10-30,19:04:55.158295
137.50,83.33,2024-10-30,19:04:55.189820
139.06,87.50,2024-10-30,19:04:55.222317
125.00,77.08,2024-10-30,19:04:55.270145
110.94,75.00,2024-10-30,19:04:55.301160
125.00,91.67,2024-10-30,19:04:55.334161
117.19,85.42,2024-10-30,19:04:55.364912
90.62,66.67,2024-10-30,19:04:55.397607
59.38,45.83,2024-10-30,19:04:55.428683
25.00,22.92,2024-10-30,19:04:55.461399
590.62,695.83,2024-10-30,19:04:55.699930
575.00,683.33,2024-10-30,19:04:55.733942
576.56,662.50,2024-10-30,19:04:55.764730
575.00,639.58,2024-10-30,19:04:55.812439
587.50,625.00,2024-10-30,19:04:55.845367
607.81,631.25,2024-10-30,19:04:55.877517
614.06,622.92,2024-10-30,19:04:55.909599
615.62,622.92,2024-10-30,19:04:55.942726
617.19,625.00,2024-10-30,19:04:55.976436
617.19,631.25,2024-10-30,19:04:56.005436
617.19,631.25,2024-10-30,19:04:56.054202
617.19,631.25,2024-10-30,19:04:56.069274
617.19,633.33,2024-10-30,19:04:56.084219
617.19,635.42,2024-10-30,19:04:56.118155
629.69,627.08,2024-10-30,19:04:56.148845
743.75,629.17,2024-10-30,19:04:56.213851
796.88,625.00,2024-10-30,19:04:56.245864
825.00,612.50,2024-10-30,19:04:56.276622
825.00,612.50,2024-10-30,19:04:56.287623
853.12,585.42,2024-10-30,19:04:56.357384
862.50,572.92,2024-10-30,19:04:56.388417
879.69,564.58,2024-10-30,19:04:56.420404
890.62,568.75,2024-10-30,19:04:56.452181
