x-coordinate,y-coordinate,date,time
721.88,289.58,2024-10-30,19:06:45.164821
728.12,281.25,2024-10-30,19:06:45.211436
734.38,275.00,2024-10-30,19:06:45.224436
745.31,264.58,2024-10-30,19:06:45.240951
756.25,254.17,2024-10-30,19:06:45.253603
765.62,245.83,2024-10-30,19:06:45.274612
767.19,245.83,2024-10-30,19:06:45.320410
765.62,245.83,2024-10-30,19:06:45.353057
768.75,243.75,2024-10-30,19:06:45.387232
776.56,235.42,2024-10-30,19:06:45.414930
785.94,231.25,2024-10-30,19:06:45.446542
795.31,222.92,2024-10-30,19:06:45.477040
809.38,210.42,2024-10-30,19:06:45.508304
823.44,200.00,2024-10-30,19:06:45.541057
832.81,191.67,2024-10-30,19:06:45.588101
837.50,189.58,2024-10-30,19:06:45.619844
842.19,183.33,2024-10-30,19:06:45.653592
848.44,179.17,2024-10-30,19:06:45.683856
851.56,181.25,2024-10-30,19:06:45.716396
846.88,187.50,2024-10-30,19:06:45.748264
842.19,189.58,2024-10-30,19:06:45.782498
842.19,191.67,2024-10-30,19:06:45.812218
842.19,191.67,2024-10-30,19:06:45.824153
840.62,191.67,2024-10-30,19:06:45.860795
839.06,193.75,2024-10-30,19:06:45.891331
837.50,195.83,2024-10-30,19:06:45.955678
837.50,195.83,2024-10-30,19:06:45.987687
834.38,200.00,2024-10-30,19:06:46.019393
831.25,202.08,2024-10-30,19:06:46.051139
831.25,202.08,2024-10-30,19:06:46.059652
829.69,204.17,2024-10-30,19:06:46.099635
829.69,204.17,2024-10-30,19:06:46.132517
829.69,206.25,2024-10-30,19:06:46.164497
828.12,208.33,2024-10-30,19:06:46.197324
826.56,210.42,2024-10-30,19:06:46.227831
825.00,210.42,2024-10-30,19:06:46.261110
826.56,210.42,2024-10-30,19:06:46.291390
826.56,210.42,2024-10-30,19:06:46.324017
825.00,212.50,2024-10-30,19:06:46.374630
825.00,212.50,2024-10-30,19:06:46.403849
825.00,212.50,2024-10-30,19:06:46.435456
825.00,212.50,2024-10-30,19:06:46.468926
826.56,212.50,2024-10-30,19:06:46.499353
825.00,212.50,2024-10-30,19:06:46.531685
823.44,214.58,2024-10-30,19:06:46.564213
818.75,214.58,2024-10-30,19:06:46.596186
817.19,216.67,2024-10-30,19:06:46.644465
793.75,231.25,2024-10-30,19:06:46.675088
779.69,237.50,2024-10-30,19:06:46.707592
789.06,225.00,2024-10-30,19:06:46.740300
803.12,212.50,2024-10-30,19:06:46.771058
806.25,214.58,2024-10-30,19:06:46.804264
801.56,222.92,2024-10-30,19:06:46.835938
795.31,227.08,2024-10-30,19:06:46.883454
789.06,235.42,2024-10-30,19:06:46.915222
771.88,243.75,2024-10-30,19:06:46.947846
770.31,243.75,2024-10-30,19:06:46.979985
782.81,231.25,2024-10-30,19:06:47.011713
793.75,220.83,2024-10-30,19:06:47.046017
798.44,218.75,2024-10-30,19:06:47.077873
800.00,216.67,2024-10-30,19:06:47.107567
804.69,214.58,2024-10-30,19:06:47.155224
807.81,210.42,2024-10-30,19:06:47.187652
812.50,208.33,2024-10-30,19:06:47.219786
814.06,208.33,2024-10-30,19:06:47.251431
814.06,208.33,2024-10-30,19:06:47.283865
815.62,208.33,2024-10-30,19:06:47.315512
814.06,210.42,2024-10-30,19:06:47.347431
810.94,214.58,2024-10-30,19:06:47.379277
810.94,214.58,2024-10-30,19:06:47.397186
809.38,216.67,2024-10-30,19:06:47.428175
814.06,210.42,2024-10-30,19:06:47.462203
814.06,212.50,2024-10-30,19:06:47.491892
798.44,225.00,2024-10-30,19:06:47.555164
782.81,231.25,2024-10-30,19:06:47.587945
785.94,227.08,2024-10-30,19:06:47.619944
795.31,218.75,2024-10-30,19:06:47.651946
795.31,218.75,2024-10-30,19:06:47.663068
803.12,214.58,2024-10-30,19:06:47.700091
803.12,214.58,2024-10-30,19:06:47.731150
806.25,212.50,2024-10-30,19:06:47.764180
809.38,208.33,2024-10-30,19:06:47.795849
810.94,208.33,2024-10-30,19:06:47.828278
814.06,208.33,2024-10-30,19:06:47.859304
820.31,204.17,2024-10-30,19:06:47.891211
820.31,206.25,2024-10-30,19:06:47.939537
815.62,210.42,2024-10-30,19:06:47.971918
810.94,212.50,2024-10-30,19:06:48.003522
814.06,212.50,2024-10-30,19:06:48.035900
815.62,212.50,2024-10-30,19:06:48.066938
814.06,214.58,2024-10-30,19:06:48.099559
810.94,212.50,2024-10-30,19:06:48.133559
815.62,208.33,2024-10-30,19:06:48.163559
815.62,210.42,2024-10-30,19:06:48.212250
810.94,214.58,2024-10-30,19:06:48.244250
806.25,216.67,2024-10-30,19:06:48.277551
803.12,218.75,2024-10-30,19:06:48.307943
801.56,220.83,2024-10-30,19:06:48.339943
796.88,222.92,2024-10-30,19:06:48.371129
798.44,220.83,2024-10-30,19:06:48.403346
803.12,216.67,2024-10-30,19:06:48.435980
806.25,216.67,2024-10-30,19:06:48.484374
809.38,212.50,2024-10-30,19:06:48.515647
810.94,214.58,2024-10-30,19:06:48.547741
806.25,220.83,2024-10-30,19:06:48.579410
793.75,227.08,2024-10-30,19:06:48.611287
789.06,227.08,2024-10-30,19:06:48.644228
793.75,225.00,2024-10-30,19:06:48.676236
793.75,225.00,2024-10-30,19:06:48.723819
796.88,225.00,2024-10-30,19:06:48.755819
798.44,222.92,2024-10-30,19:06:48.787580
801.56,220.83,2024-10-30,19:06:48.819882
801.56,220.83,2024-10-30,19:06:48.851882
798.44,222.92,2024-10-30,19:06:48.884710
795.31,222.92,2024-10-30,19:06:48.915389
793.75,222.92,2024-10-30,19:06:48.949389
793.75,222.92,2024-10-30,19:06:48.962723
792.19,222.92,2024-10-30,19:06:49.000004
784.38,225.00,2024-10-30,19:06:49.027688
776.56,227.08,2024-10-30,19:06:49.061688
778.12,225.00,2024-10-30,19:06:49.091465
775.00,227.08,2024-10-30,19:06:49.156465
781.25,222.92,2024-10-30,19:06:49.189153
784.38,222.92,2024-10-30,19:06:49.220154
784.38,222.92,2024-10-30,19:06:49.228153
779.69,227.08,2024-10-30,19:06:49.267280
773.44,231.25,2024-10-30,19:06:49.298971
765.62,233.33,2024-10-30,19:06:49.332970
745.31,241.67,2024-10-30,19:06:49.363920
735.94,243.75,2024-10-30,19:06:49.395620
751.56,235.42,2024-10-30,19:06:49.427618
776.56,218.75,2024-10-30,19:06:49.459620
790.62,212.50,2024-10-30,19:06:49.491399
793.75,212.50,2024-10-30,19:06:49.540392
793.75,212.50,2024-10-30,19:06:49.571479
801.56,208.33,2024-10-30,19:06:49.603711
812.50,200.00,2024-10-30,19:06:49.635711
821.88,195.83,2024-10-30,19:06:49.667836
820.31,200.00,2024-10-30,19:06:49.700533
810.94,206.25,2024-10-30,19:06:49.732532
803.12,210.42,2024-10-30,19:06:49.779553
800.00,210.42,2024-10-30,19:06:49.812151
800.00,210.42,2024-10-30,19:06:49.844150
800.00,212.50,2024-10-30,19:06:49.877087
798.44,212.50,2024-10-30,19:06:49.907447
800.00,212.50,2024-10-30,19:06:49.939863
800.00,212.50,2024-10-30,19:06:49.971254
801.56,210.42,2024-10-30,19:06:50.003268
803.12,210.42,2024-10-30,19:06:50.052266
800.00,212.50,2024-10-30,19:06:50.084392
795.31,214.58,2024-10-30,19:06:50.115679
798.44,212.50,2024-10-30,19:06:50.147711
803.12,210.42,2024-10-30,19:06:50.179799
806.25,208.33,2024-10-30,19:06:50.212473
807.81,206.25,2024-10-30,19:06:50.243474
809.38,206.25,2024-10-30,19:06:50.278013
809.38,206.25,2024-10-30,19:06:50.292399
801.56,210.42,2024-10-30,19:06:50.355399
798.44,210.42,2024-10-30,19:06:50.387111
796.88,210.42,2024-10-30,19:06:50.421194
798.44,210.42,2024-10-30,19:06:50.452111
804.69,206.25,2024-10-30,19:06:50.484195
807.81,204.17,2024-10-30,19:06:50.515215
804.69,206.25,2024-10-30,19:06:50.564833
804.69,206.25,2024-10-30,19:06:50.572970
798.44,208.33,2024-10-30,19:06:50.597641
795.31,210.42,2024-10-30,19:06:50.629642
793.75,210.42,2024-10-30,19:06:50.661641
793.75,210.42,2024-10-30,19:06:50.692206
800.00,208.33,2024-10-30,19:06:50.755292
800.00,208.33,2024-10-30,19:06:50.787856
800.00,208.33,2024-10-30,19:06:50.794856
800.00,208.33,2024-10-30,19:06:50.835856
798.44,208.33,2024-10-30,19:06:50.868056
800.00,208.33,2024-10-30,19:06:50.899773
800.00,208.33,2024-10-30,19:06:50.932774
801.56,206.25,2024-10-30,19:06:50.965778
804.69,204.17,2024-10-30,19:06:50.997548
804.69,204.17,2024-10-30,19:06:51.027550
804.69,204.17,2024-10-30,19:06:51.060550
804.69,206.25,2024-10-30,19:06:51.108311
803.12,206.25,2024-10-30,19:06:51.140314
801.56,206.25,2024-10-30,19:06:51.172318
800.00,208.33,2024-10-30,19:06:51.203991
801.56,206.25,2024-10-30,19:06:51.234993
803.12,206.25,2024-10-30,19:06:51.266918
803.12,206.25,2024-10-30,19:06:51.299511
803.12,206.25,2024-10-30,19:06:51.369513
803.12,206.25,2024-10-30,19:06:51.379520
801.56,206.25,2024-10-30,19:06:51.412309
803.12,206.25,2024-10-30,19:06:51.444312
804.69,204.17,2024-10-30,19:06:51.477324
806.25,204.17,2024-10-30,19:06:51.509746
807.81,204.17,2024-10-30,19:06:51.539753
807.81,204.17,2024-10-30,19:06:51.571809
806.25,204.17,2024-10-30,19:06:51.619477
807.81,202.08,2024-10-30,19:06:51.653476
810.94,202.08,2024-10-30,19:06:51.683757
812.50,202.08,2024-10-30,19:06:51.717452
814.06,202.08,2024-10-30,19:06:51.748446
814.06,200.00,2024-10-30,19:06:51.781176
815.62,202.08,2024-10-30,19:06:51.811908
814.06,206.25,2024-10-30,19:06:51.844853
814.06,206.25,2024-10-30,19:06:51.852854
809.38,212.50,2024-10-30,19:06:51.892115
790.62,227.08,2024-10-30,19:06:51.957113
778.12,239.58,2024-10-30,19:06:51.987199
764.06,260.42,2024-10-30,19:06:52.019800
746.88,272.92,2024-10-30,19:06:52.050876
737.50,283.33,2024-10-30,19:06:52.082958
709.38,287.50,2024-10-30,19:06:52.114679
709.38,287.50,2024-10-30,19:06:52.133592
682.81,304.17,2024-10-30,19:06:52.162671
642.19,325.00,2024-10-30,19:06:52.196442
596.88,345.83,2024-10-30,19:06:52.229371
557.81,368.75,2024-10-30,19:06:52.261739
521.88,402.08,2024-10-30,19:06:52.292570
484.38,520.83,2024-10-30,19:06:52.355573
496.88,562.50,2024-10-30,19:06:52.404268
496.88,562.50,2024-10-30,19:06:52.419269
501.56,568.75,2024-10-30,19:06:52.436269
500.00,579.17,2024-10-30,19:06:52.467362
735.94,750.00,2024-10-30,19:06:52.500040
742.19,758.33,2024-10-30,19:06:52.532685
743.75,777.08,2024-10-30,19:06:52.564685
254.69,477.08,2024-10-30,19:06:52.596488
254.69,512.50,2024-10-30,19:06:52.628482
254.69,541.67,2024-10-30,19:06:52.675339
254.69,564.58,2024-10-30,19:06:52.707916
256.25,583.33,2024-10-30,19:06:52.738915
257.81,608.33,2024-10-30,19:06:52.770990
259.38,633.33,2024-10-30,19:06:52.804223
262.50,650.00,2024-10-30,19:06:52.836223
262.50,670.83,2024-10-30,19:06:52.868301
260.94,695.83,2024-10-30,19:06:52.899895
259.38,714.58,2024-10-30,19:06:52.946938
256.25,735.42,2024-10-30,19:06:52.978901
253.12,760.42,2024-10-30,19:06:53.011574
250.00,779.17,2024-10-30,19:06:53.044576
240.62,795.83,2024-10-30,19:06:53.075745
234.38,810.42,2024-10-30,19:06:53.108282
231.25,810.42,2024-10-30,19:06:53.140256
223.44,816.67,2024-10-30,19:06:53.170342
210.94,829.17,2024-10-30,19:06:53.218591
198.44,837.50,2024-10-30,19:06:53.252322
187.50,843.75,2024-10-30,19:06:53.282239
182.81,845.83,2024-10-30,19:06:53.316978
181.25,845.83,2024-10-30,19:06:53.346252
179.69,841.67,2024-10-30,19:06:53.379243
178.12,843.75,2024-10-30,19:06:53.411819
178.12,841.67,2024-10-30,19:06:53.458535
178.12,841.67,2024-10-30,19:06:53.469491
179.69,839.58,2024-10-30,19:06:53.491182
184.38,833.33,2024-10-30,19:06:53.555388
189.06,829.17,2024-10-30,19:06:53.586701
193.75,825.00,2024-10-30,19:06:53.619751
198.44,820.83,2024-10-30,19:06:53.651764
201.56,814.58,2024-10-30,19:06:53.682389
201.56,814.58,2024-10-30,19:06:53.690328
201.56,812.50,2024-10-30,19:06:53.730746
200.00,812.50,2024-10-30,19:06:53.762753
198.44,812.50,2024-10-30,19:06:53.795271
193.75,814.58,2024-10-30,19:06:53.828606
206.25,804.17,2024-10-30,19:06:53.858635
218.75,785.42,2024-10-30,19:06:53.890160
217.19,768.75,2024-10-30,19:06:53.954484
217.19,768.75,2024-10-30,19:06:53.973410
207.81,775.00,2024-10-30,19:06:54.004135
206.25,775.00,2024-10-30,19:06:54.035117
203.12,775.00,2024-10-30,19:06:54.067337
204.69,764.58,2024-10-30,19:06:54.098746
207.81,750.00,2024-10-30,19:06:54.130960
206.25,733.33,2024-10-30,19:06:54.162941
203.12,727.08,2024-10-30,19:06:54.195467
200.00,729.17,2024-10-30,19:06:54.243051
198.44,733.33,2024-10-30,19:06:54.276059
198.44,735.42,2024-10-30,19:06:54.306833
200.00,729.17,2024-10-30,19:06:54.339405
198.44,722.92,2024-10-30,19:06:54.370450
193.75,716.67,2024-10-30,19:06:54.403981
189.06,716.67,2024-10-30,19:06:54.435583
182.81,718.75,2024-10-30,19:06:54.466098
179.69,720.83,2024-10-30,19:06:54.515763
176.56,725.00,2024-10-30,19:06:54.548037
175.00,729.17,2024-10-30,19:06:54.580441
