x-coordinate,y-coordinate,date,time
118.75,708.33,2024-10-30,19:19:47.194003
118.75,685.42,2024-10-30,19:19:47.228148
114.06,664.58,2024-10-30,19:19:47.257680
109.38,645.83,2024-10-30,19:19:47.286968
100.00,647.92,2024-10-30,19:19:47.319418
109.38,693.75,2024-10-30,19:19:47.351417
109.38,697.92,2024-10-30,19:19:47.399965
110.94,704.17,2024-10-30,19:19:47.431177
114.06,702.08,2024-10-30,19:19:47.464084
118.75,693.75,2024-10-30,19:19:47.494225
118.75,689.58,2024-10-30,19:19:47.528144
684.38,114.58,2024-10-30,19:19:47.560323
714.06,127.08,2024-10-30,19:19:47.593446
734.38,135.42,2024-10-30,19:19:47.627450
737.50,135.42,2024-10-30,19:19:47.672200
131.25,625.00,2024-10-30,19:19:47.703667
139.06,629.17,2024-10-30,19:19:47.734716
132.81,620.83,2024-10-30,19:19:47.768350
110.94,581.25,2024-10-30,19:19:47.799127
103.12,541.67,2024-10-30,19:19:47.832394
95.31,545.83,2024-10-30,19:19:47.863523
90.62,537.50,2024-10-30,19:19:47.897394
90.62,537.50,2024-10-30,19:19:47.909912
87.50,529.17,2024-10-30,19:19:47.978152
78.12,522.92,2024-10-30,19:19:48.011620
70.31,500.00,2024-10-30,19:19:48.045188
70.31,479.17,2024-10-30,19:19:48.070472
78.12,466.67,2024-10-30,19:19:48.103442
90.62,460.42,2024-10-30,19:19:48.135282
101.56,454.17,2024-10-30,19:19:48.183302
101.56,454.17,2024-10-30,19:19:48.188309
110.94,431.25,2024-10-30,19:19:48.216298
120.31,408.33,2024-10-30,19:19:48.247076
132.81,377.08,2024-10-30,19:19:48.279594
135.94,356.25,2024-10-30,19:19:48.312213
125.00,300.00,2024-10-30,19:19:48.377400
120.31,252.08,2024-10-30,19:19:48.410360
120.31,252.08,2024-10-30,19:19:48.417392
123.44,222.92,2024-10-30,19:19:48.458151
131.25,204.17,2024-10-30,19:19:48.487827
137.50,187.50,2024-10-30,19:19:48.519958
139.06,162.50,2024-10-30,19:19:48.552313
132.81,137.50,2024-10-30,19:19:48.584037
121.88,118.75,2024-10-30,19:19:48.615752
109.38,100.00,2024-10-30,19:19:48.648167
100.00,87.50,2024-10-30,19:19:48.680227
648.44,568.75,2024-10-30,19:19:48.727720
504.69,633.33,2024-10-30,19:19:48.761244
532.81,593.75,2024-10-30,19:19:48.794013
545.31,560.42,2024-10-30,19:19:48.828328
568.75,525.00,2024-10-30,19:19:48.856055
590.62,512.50,2024-10-30,19:19:48.889368
687.50,504.17,2024-10-30,19:19:48.919688
721.88,456.25,2024-10-30,19:19:48.952078
592.19,462.50,2024-10-30,19:19:49.000445
718.75,468.75,2024-10-30,19:19:49.032434
757.81,441.67,2024-10-30,19:19:49.062860
623.44,441.67,2024-10-30,19:19:49.095034
773.44,433.33,2024-10-30,19:19:49.127268
776.56,408.33,2024-10-30,19:19:49.162071
776.56,387.50,2024-10-30,19:19:49.193612
773.44,364.58,2024-10-30,19:19:49.244367
78.12,839.58,2024-10-30,19:19:49.272144
109.38,787.50,2024-10-30,19:19:49.304002
145.31,745.83,2024-10-30,19:19:49.336147
203.12,629.17,2024-10-30,19:19:49.367675
270.31,560.42,2024-10-30,19:19:49.399177
270.31,533.33,2024-10-30,19:19:49.432426
271.88,472.92,2024-10-30,19:19:49.463515
271.88,472.92,2024-10-30,19:19:49.475048
270.31,416.67,2024-10-30,19:19:49.512184
243.75,385.42,2024-10-30,19:19:49.577524
248.44,395.83,2024-10-30,19:19:49.610477
251.56,414.58,2024-10-30,19:19:49.643367
264.06,450.00,2024-10-30,19:19:49.672154
268.75,512.50,2024-10-30,19:19:49.704229
275.00,556.25,2024-10-30,19:19:49.735145
275.00,556.25,2024-10-30,19:19:49.752085
279.69,618.75,2024-10-30,19:19:49.783609
301.56,614.58,2024-10-30,19:19:49.816634
326.56,637.50,2024-10-30,19:19:49.848031
356.25,643.75,2024-10-30,19:19:49.878783
389.06,643.75,2024-10-30,19:19:49.912206
453.12,633.33,2024-10-30,19:19:49.978030
481.25,645.83,2024-10-30,19:19:50.027965
481.25,645.83,2024-10-30,19:19:50.033990
525.00,656.25,2024-10-30,19:19:50.057323
550.00,675.00,2024-10-30,19:19:50.093098
581.25,677.08,2024-10-30,19:19:50.120143
606.25,691.67,2024-10-30,19:19:50.152064
612.50,712.50,2024-10-30,19:19:50.182994
628.12,722.92,2024-10-30,19:19:50.214473
650.00,737.50,2024-10-30,19:19:50.246250
654.69,733.33,2024-10-30,19:19:50.296020
665.62,727.08,2024-10-30,19:19:50.326650
696.88,725.00,2024-10-30,19:19:50.362197
656.25,716.67,2024-10-30,19:19:50.395279
679.69,735.42,2024-10-30,19:19:50.427411
673.44,754.17,2024-10-30,19:19:50.460503
673.44,781.25,2024-10-30,19:19:50.488084
685.94,820.83,2024-10-30,19:19:50.520400
681.25,839.58,2024-10-30,19:19:50.569402
678.12,858.33,2024-10-30,19:19:50.598655
671.88,870.83,2024-10-30,19:19:50.631179
664.06,881.25,2024-10-30,19:19:50.662317
653.12,889.58,2024-10-30,19:19:50.694226
631.25,904.17,2024-10-30,19:19:50.726598
612.50,914.58,2024-10-30,19:19:50.760083
601.56,920.83,2024-10-30,19:19:50.793633
590.62,927.08,2024-10-30,19:19:50.845332
579.69,935.42,2024-10-30,19:19:50.872168
568.75,941.67,2024-10-30,19:19:50.903490
557.81,945.83,2024-10-30,19:19:50.935301
548.44,947.92,2024-10-30,19:19:50.968030
542.19,945.83,2024-10-30,19:19:50.999419
506.25,929.17,2024-10-30,19:19:51.031377
506.25,929.17,2024-10-30,19:19:51.043702
492.19,918.75,2024-10-30,19:19:51.080010
485.94,904.17,2024-10-30,19:19:51.112444
354.69,875.00,2024-10-30,19:19:51.176507
340.62,862.50,2024-10-30,19:19:51.209837
339.06,843.75,2024-10-30,19:19:51.244905
339.06,825.00,2024-10-30,19:19:51.272282
337.50,808.33,2024-10-30,19:19:51.303678
337.50,808.33,2024-10-30,19:19:51.324590
337.50,789.58,2024-10-30,19:19:51.351569
339.06,779.17,2024-10-30,19:19:51.383617
340.62,764.58,2024-10-30,19:19:51.415416
340.62,752.08,2024-10-30,19:19:51.447211
340.62,735.42,2024-10-30,19:19:51.479751
340.62,722.92,2024-10-30,19:19:51.512041
345.31,708.33,2024-10-30,19:19:51.579324
345.31,708.33,2024-10-30,19:19:51.590272
348.44,710.42,2024-10-30,19:19:51.626303
351.56,718.75,2024-10-30,19:19:51.657870
351.56,729.17,2024-10-30,19:19:51.687519
356.25,739.58,2024-10-30,19:19:51.721228
362.50,741.67,2024-10-30,19:19:51.752134
354.69,756.25,2024-10-30,19:19:51.783220
428.12,712.50,2024-10-30,19:19:51.816018
431.25,716.67,2024-10-30,19:19:51.864039
431.25,722.92,2024-10-30,19:19:51.896276
437.50,731.25,2024-10-30,19:19:51.927414
437.50,737.50,2024-10-30,19:19:51.961304
442.19,743.75,2024-10-30,19:19:51.993284
498.44,762.50,2024-10-30,19:19:52.028434
496.88,770.83,2024-10-30,19:19:52.060560
493.75,775.00,2024-10-30,19:19:52.089564
445.31,764.58,2024-10-30,19:19:52.136424
442.19,766.67,2024-10-30,19:19:52.168139
440.62,768.75,2024-10-30,19:19:52.202181
439.06,770.83,2024-10-30,19:19:52.231978
437.50,772.92,2024-10-30,19:19:52.263703
435.94,777.08,2024-10-30,19:19:52.296994
434.38,777.08,2024-10-30,19:19:52.326365
434.38,779.17,2024-10-30,19:19:52.359394
432.81,781.25,2024-10-30,19:19:52.409629
434.38,785.42,2024-10-30,19:19:52.442395
473.44,797.92,2024-10-30,19:19:52.472330
473.44,797.92,2024-10-30,19:19:52.503341
473.44,802.08,2024-10-30,19:19:52.537418
473.44,806.25,2024-10-30,19:19:52.568210
473.44,808.33,2024-10-30,19:19:52.598976
473.44,808.33,2024-10-30,19:19:52.631253
473.44,808.33,2024-10-30,19:19:52.651597
476.56,802.08,2024-10-30,19:19:52.680006
432.81,779.17,2024-10-30,19:19:52.712034
429.69,756.25,2024-10-30,19:19:52.776589
385.94,762.50,2024-10-30,19:19:52.811453
378.12,754.17,2024-10-30,19:19:52.844132
370.31,745.83,2024-10-30,19:19:52.877497
370.31,745.83,2024-10-30,19:19:52.883199
367.19,741.67,2024-10-30,19:19:52.921326
368.75,735.42,2024-10-30,19:19:52.952373
335.94,735.42,2024-10-30,19:19:52.984007
315.62,739.58,2024-10-30,19:19:53.015516
287.50,743.75,2024-10-30,19:19:53.048053
357.81,693.75,2024-10-30,19:19:53.079562
364.06,664.58,2024-10-30,19:19:53.110550
353.12,662.50,2024-10-30,19:19:53.144273
334.38,685.42,2024-10-30,19:19:53.195591
339.06,687.50,2024-10-30,19:19:53.227437
370.31,679.17,2024-10-30,19:19:53.258136
381.25,685.42,2024-10-30,19:19:53.287385
381.25,689.58,2024-10-30,19:19:53.319196
382.81,691.67,2024-10-30,19:19:53.352075
392.19,689.58,2024-10-30,19:19:53.384451
398.44,689.58,2024-10-30,19:19:53.416148
407.81,683.33,2024-10-30,19:19:53.464204
439.06,666.67,2024-10-30,19:19:53.495208
439.06,670.83,2024-10-30,19:19:53.528074
442.19,660.42,2024-10-30,19:19:53.560119
445.31,656.25,2024-10-30,19:19:53.594428
454.69,647.92,2024-10-30,19:19:53.627313
460.94,645.83,2024-10-30,19:19:53.662356
553.12,679.17,2024-10-30,19:19:53.703912
554.69,679.17,2024-10-30,19:19:53.735498
548.44,675.00,2024-10-30,19:19:53.767406
535.94,668.75,2024-10-30,19:19:53.799472
471.88,647.92,2024-10-30,19:19:53.832307
468.75,652.08,2024-10-30,19:19:53.863581
476.56,650.00,2024-10-30,19:19:53.894911
475.00,650.00,2024-10-30,19:19:53.929140
478.12,652.08,2024-10-30,19:19:53.977077
481.25,660.42,2024-10-30,19:19:54.009910
514.06,670.83,2024-10-30,19:19:54.043217
501.56,677.08,2024-10-30,19:19:54.071987
521.88,689.58,2024-10-30,19:19:54.104645
510.94,689.58,2024-10-30,19:19:54.135178
510.94,695.83,2024-10-30,19:19:54.167084
515.62,704.17,2024-10-30,19:19:54.198199
515.62,704.17,2024-10-30,19:19:54.204303
528.12,716.67,2024-10-30,19:19:54.247161
529.69,727.08,2024-10-30,19:19:54.280421
531.25,731.25,2024-10-30,19:19:54.311257
532.81,739.58,2024-10-30,19:19:54.375319
535.94,743.75,2024-10-30,19:19:54.410715
537.50,750.00,2024-10-30,19:19:54.442908
535.94,756.25,2024-10-30,19:19:54.473353
535.94,756.25,2024-10-30,19:19:54.485036
535.94,764.58,2024-10-30,19:19:54.518931
528.12,764.58,2024-10-30,19:19:54.552224
523.44,764.58,2024-10-30,19:19:54.584119
520.31,766.67,2024-10-30,19:19:54.615043
518.75,772.92,2024-10-30,19:19:54.647098
514.06,779.17,2024-10-30,19:19:54.678390
514.06,789.58,2024-10-30,19:19:54.711413
515.62,800.00,2024-10-30,19:19:54.759247
518.75,810.42,2024-10-30,19:19:54.792174
525.00,829.17,2024-10-30,19:19:54.828102
514.06,825.00,2024-10-30,19:19:54.860195
512.50,833.33,2024-10-30,19:19:54.887378
506.25,831.25,2024-10-30,19:19:54.922418
498.44,829.17,2024-10-30,19:19:54.951991
485.94,816.67,2024-10-30,19:19:54.983106
473.44,797.92,2024-10-30,19:19:55.031934
460.94,775.00,2024-10-30,19:19:55.064103
456.25,756.25,2024-10-30,19:19:55.095225
451.56,741.67,2024-10-30,19:19:55.126339
450.00,725.00,2024-10-30,19:19:55.162155
448.44,708.33,2024-10-30,19:19:55.193297
443.75,695.83,2024-10-30,19:19:55.225109
442.19,689.58,2024-10-30,19:19:55.261162
417.19,666.67,2024-10-30,19:19:55.304011
414.06,658.33,2024-10-30,19:19:55.338072
412.50,654.17,2024-10-30,19:19:55.367158
412.50,647.92,2024-10-30,19:19:55.398535
412.50,643.75,2024-10-30,19:19:55.430188
412.50,637.50,2024-10-30,19:19:55.464343
412.50,633.33,2024-10-30,19:19:55.495023
412.50,625.00,2024-10-30,19:19:55.544162
412.50,618.75,2024-10-30,19:19:55.576827
410.94,608.33,2024-10-30,19:19:55.609286
409.38,600.00,2024-10-30,19:19:55.643411
406.25,595.83,2024-10-30,19:19:55.671509
431.25,600.00,2024-10-30,19:19:55.702101
426.56,593.75,2024-10-30,19:19:55.735098
420.31,585.42,2024-10-30,19:19:55.768181
420.31,585.42,2024-10-30,19:19:55.773227
414.06,575.00,2024-10-30,19:19:55.815015
406.25,564.58,2024-10-30,19:19:55.848067
396.88,552.08,2024-10-30,19:19:55.879304
387.50,535.42,2024-10-30,19:19:55.914566
368.75,508.33,2024-10-30,19:19:55.976106
359.38,491.67,2024-10-30,19:19:56.010139
300.00,493.75,2024-10-30,19:19:56.043316
300.00,493.75,2024-10-30,19:19:56.051759
343.75,454.17,2024-10-30,19:19:56.090121
337.50,433.33,2024-10-30,19:19:56.120053
331.25,408.33,2024-10-30,19:19:56.151251
