x-coordinate,y-coordinate,date,time
601.56,791.67,2024-10-30,19:54:55.362482
571.88,743.75,2024-10-30,19:54:55.430819
567.19,743.75,2024-10-30,19:54:55.459899
564.06,747.92,2024-10-30,19:54:55.495215
564.06,762.50,2024-10-30,19:54:55.524880
562.50,779.17,2024-10-30,19:54:55.557729
559.38,806.25,2024-10-30,19:54:55.588312
554.69,835.42,2024-10-30,19:54:55.620228
551.56,856.25,2024-10-30,19:54:55.667622
554.69,864.58,2024-10-30,19:54:55.700334
556.25,868.75,2024-10-30,19:54:55.732959
556.25,870.83,2024-10-30,19:54:55.763517
589.06,197.92,2024-10-30,19:54:55.798261
556.25,868.75,2024-10-30,19:54:55.829589
554.69,868.75,2024-10-30,19:54:55.859835
554.69,864.58,2024-10-30,19:54:55.891746
554.69,864.58,2024-10-30,19:54:55.899785
485.94,168.75,2024-10-30,19:54:55.940455
470.31,172.92,2024-10-30,19:54:55.973783
553.12,866.67,2024-10-30,19:54:56.036679
553.12,866.67,2024-10-30,19:54:56.068142
487.50,166.67,2024-10-30,19:54:56.100277
489.06,164.58,2024-10-30,19:54:56.131998
495.31,164.58,2024-10-30,19:54:56.165404
495.31,164.58,2024-10-30,19:54:56.180181
498.44,162.50,2024-10-30,19:54:56.216703
500.00,162.50,2024-10-30,19:54:56.253012
506.25,164.58,2024-10-30,19:54:56.275678
509.38,168.75,2024-10-30,19:54:56.307415
512.50,166.67,2024-10-30,19:54:56.340580
506.25,170.83,2024-10-30,19:54:56.372059
510.94,166.67,2024-10-30,19:54:56.404991
514.06,166.67,2024-10-30,19:54:56.452788
514.06,166.67,2024-10-30,19:54:56.486166
509.38,170.83,2024-10-30,19:54:56.516519
514.06,166.67,2024-10-30,19:54:56.549082
512.50,166.67,2024-10-30,19:54:56.581004
512.50,164.58,2024-10-30,19:54:56.612642
510.94,164.58,2024-10-30,19:54:56.645507
512.50,160.42,2024-10-30,19:54:56.676631
510.94,160.42,2024-10-30,19:54:56.724077
507.81,158.33,2024-10-30,19:54:56.757606
506.25,156.25,2024-10-30,19:54:56.787727
501.56,156.25,2024-10-30,19:54:56.820309
501.56,158.33,2024-10-30,19:54:56.853161
498.44,162.50,2024-10-30,19:54:56.886644
503.13,154.17,2024-10-30,19:54:56.919788
500.00,154.17,2024-10-30,19:54:56.948904
493.75,152.08,2024-10-30,19:54:57.020353
489.06,154.17,2024-10-30,19:54:57.048923
495.31,150.00,2024-10-30,19:54:57.061203
506.25,152.08,2024-10-30,19:54:57.092079
528.12,139.58,2024-10-30,19:54:57.125950
540.62,143.75,2024-10-30,19:54:57.156135
537.50,162.50,2024-10-30,19:54:57.188832
543.75,164.58,2024-10-30,19:54:57.236243
548.44,168.75,2024-10-30,19:54:57.269604
557.81,166.67,2024-10-30,19:54:57.301786
575.00,160.42,2024-10-30,19:54:57.332282
573.44,179.17,2024-10-30,19:54:57.366945
596.88,168.75,2024-10-30,19:54:57.397510
596.88,185.42,2024-10-30,19:54:57.428263
614.06,179.17,2024-10-30,19:54:57.459929
614.06,179.17,2024-10-30,19:54:57.469596
625.00,189.58,2024-10-30,19:54:57.507250
639.06,204.17,2024-10-30,19:54:57.539869
656.25,235.42,2024-10-30,19:54:57.572192
687.50,310.42,2024-10-30,19:54:57.635540
573.44,927.08,2024-10-30,19:54:57.667888
717.19,360.42,2024-10-30,19:54:57.700752
729.69,377.08,2024-10-30,19:54:57.732202
729.69,377.08,2024-10-30,19:54:57.748243
737.50,385.42,2024-10-30,19:54:57.781603
739.06,387.50,2024-10-30,19:54:57.813427
735.94,383.33,2024-10-30,19:54:57.845049
731.25,372.92,2024-10-30,19:54:57.876627
439.06,920.83,2024-10-30,19:54:57.909970
440.62,895.83,2024-10-30,19:54:57.938995
451.56,862.50,2024-10-30,19:54:57.971407
465.62,847.92,2024-10-30,19:54:58.002910
482.81,820.83,2024-10-30,19:54:58.051069
506.25,797.92,2024-10-30,19:54:58.083811
604.69,758.33,2024-10-30,19:54:58.117354
617.19,731.25,2024-10-30,19:54:58.148010
631.25,706.25,2024-10-30,19:54:58.181605
645.31,677.08,2024-10-30,19:54:58.210471
664.06,645.83,2024-10-30,19:54:58.246113
