500.00,966.67,2024-10-25,16:48:12.873223
498.44,497.92,2024-10-25,16:48:12.914795
498.44,497.92,2024-10-25,16:48:12.921909
498.44,497.92,2024-10-25,16:48:12.958766
498.44,497.92,2024-10-25,16:48:12.965782
498.44,497.92,2024-10-25,16:48:13.024024
498.44,497.92,2024-10-25,16:48:13.071259
498.44,497.92,2024-10-25,16:48:13.092923
498.44,497.92,2024-10-25,16:48:13.119181
498.44,497.92,2024-10-25,16:48:13.168158
498.44,497.92,2024-10-25,16:48:13.216859
498.44,497.92,2024-10-25,16:48:13.233736
498.44,497.92,2024-10-25,16:48:13.265054
498.44,497.92,2024-10-25,16:48:13.311382
498.44,497.92,2024-10-25,16:48:13.326106
498.44,497.92,2024-10-25,16:48:13.358898
498.44,497.92,2024-10-25,16:48:13.393942
498.44,497.92,2024-10-25,16:48:13.439092
498.44,497.92,2024-10-25,16:48:13.449083
498.44,497.92,2024-10-25,16:48:13.472980
498.44,497.92,2024-10-25,16:48:13.519909
498.44,497.92,2024-10-25,16:48:13.552644
498.44,497.92,2024-10-25,16:48:13.599050
498.44,497.92,2024-10-25,16:48:13.631508
498.44,497.92,2024-10-25,16:48:13.650792
498.44,497.92,2024-10-25,16:48:13.679116
498.44,497.92,2024-10-25,16:48:13.709773
498.44,497.92,2024-10-25,16:48:13.742772
498.44,497.92,2024-10-25,16:48:13.777117
498.44,497.92,2024-10-25,16:48:13.808999
498.44,497.92,2024-10-25,16:48:13.840469
498.44,497.92,2024-10-25,16:48:13.873749
498.44,497.92,2024-10-25,16:48:13.905745
498.44,497.92,2024-10-25,16:48:13.952507
498.44,497.92,2024-10-25,16:48:13.984161
498.44,497.92,2024-10-25,16:48:14.014335
498.44,497.92,2024-10-25,16:48:14.047238
498.44,497.92,2024-10-25,16:48:14.081321
498.44,497.92,2024-10-25,16:48:14.110839
498.44,497.92,2024-10-25,16:48:14.143824
498.44,497.92,2024-10-25,16:48:14.175827
498.44,497.92,2024-10-25,16:48:14.224952
498.44,497.92,2024-10-25,16:48:14.258134
498.44,497.92,2024-10-25,16:48:14.289329
498.44,497.92,2024-10-25,16:48:14.321254
498.44,497.92,2024-10-25,16:48:14.353206
498.44,497.92,2024-10-25,16:48:14.384398
496.88,497.92,2024-10-25,16:48:14.417377
489.06,497.92,2024-10-25,16:48:14.465901
481.25,497.92,2024-10-25,16:48:14.497324
476.56,493.75,2024-10-25,16:48:14.527033
467.19,493.75,2024-10-25,16:48:14.558935
460.94,493.75,2024-10-25,16:48:14.594416
454.69,489.58,2024-10-25,16:48:14.625240
428.12,472.92,2024-10-25,16:48:14.657227
204.69,487.50,2024-10-25,16:48:14.688897
204.69,487.50,2024-10-25,16:48:14.704339
450.00,560.42,2024-10-25,16:48:14.737084
492.19,506.25,2024-10-25,16:48:14.800804
495.31,500.00,2024-10-25,16:48:14.832669
498.44,497.92,2024-10-25,16:48:14.867053
498.44,497.92,2024-10-25,16:48:14.896733
498.44,497.92,2024-10-25,16:48:14.929931
498.44,497.92,2024-10-25,16:48:14.963657
498.44,497.92,2024-10-25,16:48:14.968825
498.44,497.92,2024-10-25,16:48:15.008755
498.44,497.92,2024-10-25,16:48:15.042497
496.88,500.00,2024-10-25,16:48:15.073929
495.31,502.08,2024-10-25,16:48:15.106812
490.62,504.17,2024-10-25,16:48:15.136770
475.00,520.83,2024-10-25,16:48:15.202042
