x-coordinate,y-coordinate,date,time
884.38,956.25,2024-10-29,16:14:28.903597
746.88,870.83,2024-10-29,16:14:28.929717
584.38,812.50,2024-10-29,16:14:28.976878
584.38,812.50,2024-10-29,16:14:28.996690
942.19,964.58,2024-10-29,16:14:29.233682
942.19,964.58,2024-10-29,16:14:29.248744
906.25,954.17,2024-10-29,16:14:29.284763
870.31,956.25,2024-10-29,16:14:29.328782
826.56,962.50,2024-10-29,16:14:29.376836
826.56,962.50,2024-10-29,16:14:29.388279
778.12,968.75,2024-10-29,16:14:29.424482
778.12,968.75,2024-10-29,16:14:29.434597
740.62,977.08,2024-10-29,16:14:29.488002
714.06,885.42,2024-10-29,16:14:29.586037
670.31,868.75,2024-10-29,16:14:29.634088
670.31,868.75,2024-10-29,16:14:29.638518
612.50,850.00,2024-10-29,16:14:29.681767
910.94,979.17,2024-10-29,16:14:29.889738
885.94,960.42,2024-10-29,16:14:29.938789
885.94,960.42,2024-10-29,16:14:29.952056
857.81,952.08,2024-10-29,16:14:29.986862
806.25,937.50,2024-10-29,16:14:30.031929
806.25,937.50,2024-10-29,16:14:30.046897
756.25,910.42,2024-10-29,16:14:30.080478
718.75,887.50,2024-10-29,16:14:30.128966
873.44,989.58,2024-10-29,16:14:30.290575
892.19,991.67,2024-10-29,16:14:30.336757
892.19,991.67,2024-10-29,16:14:30.355185
915.62,993.75,2024-10-29,16:14:30.384911
926.56,991.67,2024-10-29,16:14:30.435912
926.56,991.67,2024-10-29,16:14:30.447688
925.00,989.58,2024-10-29,16:14:30.482363
914.06,972.92,2024-10-29,16:14:30.528712
914.06,962.50,2024-10-29,16:14:30.576751
914.06,962.50,2024-10-29,16:14:30.587759
912.50,960.42,2024-10-29,16:14:30.640870
912.50,960.42,2024-10-29,16:14:30.650140
879.69,962.50,2024-10-29,16:14:30.688514
851.56,966.67,2024-10-29,16:14:30.736481
851.56,966.67,2024-10-29,16:14:30.745067
645.31,975.00,2024-10-29,16:14:31.797638
607.81,970.83,2024-10-29,16:14:31.840937
607.81,970.83,2024-10-29,16:14:31.853652
603.12,972.92,2024-10-29,16:14:31.893641
640.62,977.08,2024-10-29,16:14:31.937769
640.62,977.08,2024-10-29,16:14:31.948213
701.56,987.50,2024-10-29,16:14:31.986965
706.25,991.67,2024-10-29,16:14:32.084266
550.00,979.17,2024-10-29,16:14:32.288977
567.19,981.25,2024-10-29,16:14:32.336718
567.19,981.25,2024-10-29,16:14:32.353891
546.88,981.25,2024-10-29,16:14:32.386695
625.00,987.50,2024-10-29,16:14:32.433081
625.00,987.50,2024-10-29,16:14:32.448751
485.94,989.58,2024-10-29,16:14:32.689776
531.25,985.42,2024-10-29,16:14:32.737973
531.25,985.42,2024-10-29,16:14:32.742062
575.00,987.50,2024-10-29,16:14:32.785042
604.69,989.58,2024-10-29,16:14:32.832687
