860.94,422.92,2024-10-24 16:52:34.145790
987.50,122.92,2024-10-24 16:52:34.227710
84.38,897.92,2024-10-24 16:52:34.244718
168.75,852.08,2024-10-24 16:52:34.263241
223.44,739.58,2024-10-24 16:52:34.278386
270.31,706.25,2024-10-24 16:52:34.293708
362.50,683.33,2024-10-24 16:52:34.330155
462.50,647.92,2024-10-24 16:52:34.362913
532.81,612.50,2024-10-24 16:52:34.392702
590.62,583.33,2024-10-24 16:52:34.424319
623.44,556.25,2024-10-24 16:52:34.455997
654.69,508.33,2024-10-24 16:52:34.488192
670.31,475.00,2024-10-24 16:52:34.520546
678.12,466.67,2024-10-24 16:52:34.552900
690.62,433.33,2024-10-24 16:52:34.601298
707.81,400.00,2024-10-24 16:52:34.631929
714.06,387.50,2024-10-24 16:52:34.665658
704.69,379.17,2024-10-24 16:52:34.696041
704.69,360.42,2024-10-24 16:52:34.728655
710.94,350.00,2024-10-24 16:52:34.761262
712.50,322.92,2024-10-24 16:52:34.793295
707.81,325.00,2024-10-24 16:52:34.825588
707.81,325.00,2024-10-24 16:52:34.846666
706.25,322.92,2024-10-24 16:52:34.872421
709.38,322.92,2024-10-24 16:52:34.904406
712.50,327.08,2024-10-24 16:52:34.969176
707.81,325.00,2024-10-24 16:52:35.003072
696.88,329.17,2024-10-24 16:52:35.038684
687.50,333.33,2024-10-24 16:52:35.067267
687.50,333.33,2024-10-24 16:52:35.080925
693.75,331.25,2024-10-24 16:52:35.113148
703.12,329.17,2024-10-24 16:52:35.144417
712.50,329.17,2024-10-24 16:52:35.178635
720.31,335.42,2024-10-24 16:52:35.210207
726.56,343.75,2024-10-24 16:52:35.240527
729.69,356.25,2024-10-24 16:52:35.272629
734.38,366.67,2024-10-24 16:52:35.304923
742.19,366.67,2024-10-24 16:52:35.336843
748.44,368.75,2024-10-24 16:52:35.384883
746.88,368.75,2024-10-24 16:52:35.418249
746.88,368.75,2024-10-24 16:52:35.449377
750.00,356.25,2024-10-24 16:52:35.480889
748.44,337.50,2024-10-24 16:52:35.512707
743.75,325.00,2024-10-24 16:52:35.546388
737.50,308.33,2024-10-24 16:52:35.575566
723.44,293.75,2024-10-24 16:52:35.609294
700.00,285.42,2024-10-24 16:52:35.658440
675.00,283.33,2024-10-24 16:52:35.688874
651.56,281.25,2024-10-24 16:52:35.720688
632.81,281.25,2024-10-24 16:52:35.753067
615.62,281.25,2024-10-24 16:52:35.783647
603.12,283.33,2024-10-24 16:52:35.816773
598.44,285.42,2024-10-24 16:52:35.849399
600.00,291.67,2024-10-24 16:52:35.897256
604.69,295.83,2024-10-24 16:52:35.929013
606.25,304.17,2024-10-24 16:52:35.960229
614.06,312.50,2024-10-24 16:52:35.992275
626.56,327.08,2024-10-24 16:52:36.022845
643.75,341.67,2024-10-24 16:52:36.055359
659.38,350.00,2024-10-24 16:52:36.090392
675.00,354.17,2024-10-24 16:52:36.121401
684.38,362.50,2024-10-24 16:52:36.168921
690.62,366.67,2024-10-24 16:52:36.198941
700.00,366.67,2024-10-24 16:52:36.232451
707.81,366.67,2024-10-24 16:52:36.265086
714.06,358.33,2024-10-24 16:52:36.296732
717.19,341.67,2024-10-24 16:52:36.336248
712.50,316.67,2024-10-24 16:52:36.360762
706.25,295.83,2024-10-24 16:52:36.392678
706.25,295.83,2024-10-24 16:52:36.404677
704.69,281.25,2024-10-24 16:52:36.441134
701.56,272.92,2024-10-24 16:52:36.472648
700.00,268.75,2024-10-24 16:52:36.505335
700.00,268.75,2024-10-24 16:52:36.569069
701.56,266.67,2024-10-24 16:52:36.601834
704.69,268.75,2024-10-24 16:52:36.633347
712.50,268.75,2024-10-24 16:52:36.667072
712.50,268.75,2024-10-24 16:52:36.686600
726.56,270.83,2024-10-24 16:52:36.712674
740.62,272.92,2024-10-24 16:52:36.744713
750.00,270.83,2024-10-24 16:52:36.775143
754.69,262.50,2024-10-24 16:52:36.808920
754.69,252.08,2024-10-24 16:52:36.839450
753.12,241.67,2024-10-24 16:52:36.870973
748.44,235.42,2024-10-24 16:52:36.904587
743.75,233.33,2024-10-24 16:52:36.954226
737.50,235.42,2024-10-24 16:52:36.985346
726.56,237.50,2024-10-24 16:52:37.016211
712.50,241.67,2024-10-24 16:52:37.049732
698.44,245.83,2024-10-24 16:52:37.081237
690.62,247.92,2024-10-24 16:52:37.113164
689.06,250.00,2024-10-24 16:52:37.144762
689.06,250.00,2024-10-24 16:52:37.177421
685.94,250.00,2024-10-24 16:52:37.226160
684.38,250.00,2024-10-24 16:52:37.258578
679.69,250.00,2024-10-24 16:52:37.288683
675.00,250.00,2024-10-24 16:52:37.320002
671.88,247.92,2024-10-24 16:52:37.353003
665.62,247.92,2024-10-24 16:52:37.384009
662.50,250.00,2024-10-24 16:52:37.417721
659.38,250.00,2024-10-24 16:52:37.448719
